nom_commune,trend_score
Zürich,69.67058290840126
Troinex,69.62947383122277
Niederweningen,66.55698342950126
Birrhard,64.99728573540038
Renens (VD),64.86241309472679
Crissier,64.80791990328676
Nendaz,64.71622151677653
Monthey,64.51546644360354
Weinfelden,63.91211315089301
Broc,63.61384849351467
Satigny,63.245413624855374
Plan-les-Ouates,62.91412209648221
Schwaderloch,62.70081017945006
Blonay - Saint-Légier,62.508011406898845
Lancy,62.402277523845015
Alpnach,62.38179453505849
Bodio,62.37327347462768
Echallens,62.07515575194543
Burgdorf,62.008791140278205
Münchenbuchsee,61.935851993285084
Küttigen,61.648459290538604
Saint-Cergue,61.0263849524744
Arbon,60.62847065096187
Saillon,60.399130063679245
Pregny-Chambésy,60.38967381618742
Mettmenstetten,59.7127113048419
Riehen,59.31009319746612
Treyvaux,59.29389094116915
Oberlunkhofen,59.26797468442764
Sion,59.10511792071004
Courtepin,59.05859136342437
Zunzgen,58.529615636508
Anières,58.48210244451393
Chêne-Bougeries,58.47279372151669
Dübendorf,58.45544591473177
Morlon,58.36900767298678
Binningen,58.1977569312165
Mönchaltorf,58.15330080476208
Rupperswil,58.08477946144611
Cossonay,57.912947636329456
Ruswil,57.90135962309959
Spiez,57.892880698874905
Embrach,57.87992302628052
Fully,57.846063133010176
Vandoeuvres,57.76569946586404
Bernex,57.737927218980865
Regensdorf,57.719813902131456
Stetten (AG),57.62397304638525
Sins,57.62022497976321
Chêne-Bourg,57.59097776660306
Zollikofen,57.36184485625001
Trélex,57.28525566290526
Signy-Avenex,57.21528921795475
Auenstein,57.19375500378268
Brittnau,57.16980463418485
Basel,57.159265539460634
Sumvitg,57.04781259251517
Eschenbach (SG),57.03202012240205
Cortébert,56.915227723757155
Versoix,56.909643073256674
Chêne-Pâquier,56.77345274682598
Fehraltorf,56.760490646899285
Zufikon,56.74867032721182
Ecublens (VD),56.70879490458727
Dulliken,56.65500680907991
La Grande Béroche,56.60898637180941
Alle,56.597996113555624
Romanel-sur-Lausanne,56.532013008760046
Lignières,56.4927802063984
Hettlingen,56.46376413023361
Fislisbach,56.458341253328356
Unterbäch,56.42057702986987
St. Margrethen,56.395894641787294
Bennwil,56.36953636922785
Hinwil,56.31513580823913
Ennetbürgen,56.314880059439766
Stallikon,56.31080897619993
Thundorf,56.275530658012165
Escholzmatt-Marbach,56.239076611069365
Steinmaur,56.23761056448127
Liestal,56.20574125292276
Otelfingen,56.19037080074948
Gampel-Bratsch,56.17571741342332
Oberrieden,56.129948136925314
Boniswil,56.097990375939375
Reigoldswil,56.07545058707879
Kemmental,56.0123141873989
Uzwil,56.00787303057652
Seon,55.989628069591646
Thalheim an der Thur,55.93740356606162
Lindau,55.89013273971049
Le Grand-Saconnex,55.81441795642241
Menziken,55.796202938464894
Boncourt,55.791565588931796
Oetwil am See,55.77410918758949
Vallorbe,55.75407003473942
Ittigen,55.71168099157063
Hasle (LU),55.7021420430685
Walkringen,55.69747760299998
Hallau,55.67331921375006
Aarau,55.6658526551356
Eich,55.66447290448417
Hermance,55.64163272721609
Buch am Irchel,55.5956682449502
Beinwil (Freiamt),55.5518314424722
Adligenswil,55.54074178654841
Buchholterberg,55.53762658887329
Genève,55.487816980023105
Maggia,55.45119275660548
Pfyn,55.41368721719357
Thônex,55.39883551361141
Arni (AG),55.39215401960691
Essertines-sur-Rolle,55.38861754216063
Scharans,55.35482698909355
Lüterswil-Gächliwil,55.33063646788586
Saxon,55.32975519721224
Arbaz,55.32228902956288
Granges (Veveyse),55.29145211744613
Entlebuch,55.27088216302268
Suhr,55.26755227750472
Urnäsch,55.24412957744321
Lumnezia,55.243621313061716
Dägerlen,55.23181019305087
Marly,55.22778225501268
Thalheim (AG),55.17899006085826
Winkel,55.178409064279
Villarzel,55.131968325803896
Ennetbaden,55.126264428533815
Oberhofen am Thunersee,55.11294498764028
Aedermannsdorf,55.106531428287354
Giebenach,55.10369296302759
Tegerfelden,55.10013381112879
Lampenberg,55.07939484494686
Herbligen,55.06218204095268
Castel San Pietro,55.05448744941391
Rain,55.043811243340265
Grancy,55.01707847571178
Zumikon,55.016702043291886
Burg im Leimental,55.00837779445318
Oberriet (SG),55.008356139485265
Bichelsee-Balterswil,54.988515355963266
Neuhausen am Rheinfall,54.987487008331534
Cama,54.97905507760618
Chavannes-près-Renens,54.96351728728978
Würenlos,54.96275366513949
Itingen,54.960765028497455
Braunau,54.943102068594676
Pfäfers,54.94308070720852
Wolhusen,54.91245514322888
Waltenschwil,54.90230212166861
Muttenz,54.89861870314959
Wattenwil,54.894456606715664
Kaisten,54.87828336213728
Arni (BE),54.87253991292321
Oppligen,54.87253991292321
Lichtensteig,54.87106046226779
Aire-la-Ville,54.86093047311254
Oberwil (BL),54.85961548113533
Rickenbach (ZH),54.84023545775703
Genolier,54.7954901647912
Val Terbi,54.79362020043355
Vérossaz,54.78520758120259
Marchissy,54.78264204925663
Täsch,54.78264204925657
Kaiseraugst,54.78058812548203
Murgenthal,54.77710489381071
Balsthal,54.77473330479692
Dielsdorf,54.77318260398238
Oberkulm,54.76526902689896
Kölliken,54.752802183014325
Rüdtligen-Alchenflüh,54.75268427748832
Riederalp,54.74188217740001
Gy,54.722802821973026
Bönigen,54.71582657343967
Egnach,54.70984061983259
La Roche,54.67933248624926
Böckten,54.655306306731276
La Chaux-de-Fonds,54.65071257649692
Niederhelfenschwil,54.647403754205165
Melchnau,54.63937155569121
Schänis,54.632473898198725
Thal,54.617663379621746
Waldenburg,54.61366990718286
Serravalle,54.608587646558924
Wittinsburg,54.59937915623111
Au (SG),54.55871668141472
Höri,54.549236451824264
Val-de-Charmey,54.51405806029519
Semsales,54.50481503787473
Le Châtelard,54.50065382076611
Courchapoix,54.49637910760793
Châtel-Saint-Denis,54.493324933835204
Saint-Martin (VS),54.47376902545504
Lauwil,54.468178624233985
Gossau (SG),54.46531991777076
Mont-Noble,54.45606104382635
La Tour-de-Peilz,54.44862724911477
Gibloux,54.417864256231425
Capriasca,54.40272402854951
Zeihen,54.40104474536685
Feusisberg,54.399420979771115
Mattstetten,54.39135404036713
Rolle,54.38671669083441
Cartigny,54.365456621093074
La Sonnaz,54.35956731890642
Saint-George,54.358780958452186
Sullens,54.34598849562316
Oberengstringen,54.34563869842647
Matran,54.336430208098825
Cressier (NE),54.30311855894373
Rothenburg,54.302224729748445
Zurzach,54.2998636077658
Cologny,54.29656230022458
Cheseaux-sur-Lausanne,54.2913105768789
Silenen,54.288896788217926
Bühler,54.286328973126196
Hundwil,54.285770565985864
Basse-Allaine,54.283912412977024
Ins,54.27618386164724
Brienzwiler,54.266564420019144
Ayent,54.26608856249659
Müllheim,54.25826989594306
Holderbank (SO),54.253295369453745
Gelterkinden,54.21981526763007
Salmsach,54.21878219134108
Reinach (BL),54.1948663773776
Brünisried,54.18854074715521
Zell (ZH),54.18180122966917
Vernier,54.15105582680142
Langenbruck,54.13842113002809
Vendlincourt,54.134146416869946
Brügg,54.11191226558186
Uitikon,54.10146705114816
Bregaglia,54.084026799742965
Flerden,54.08266084513688
Pully,54.081151024296915
Buch (SH),54.078944539119036
Hellikon,54.07457194057819
Liddes,54.0653128521791
Ammerswil,54.06271646345797
Uezwil,54.0574859271237
Bure,54.054084762425575
Porrentruy,54.04376842123805
Niederbipp,54.035617956439225
Gebenstorf,54.03410572487012
Gossau (ZH),54.02270147455796
Brütten,54.021093026872585
Albula/Alvra,54.01944569029841
Nyon,54.01452314648381
Saas-Fee,53.99629945891668
Vaulruz,53.98663011530338
Mathod,53.96129110316976
Schönenbuch,53.957117046882885
Kerzers,53.950784373918324
Bünzen,53.94534074146303
Savigny,53.93254815484975
Niederrohrdorf,53.93114400013777
Sant'Antonino,53.92851996734281
Saint-Léonard,53.92031687064894
Le Cerneux-Péquignot,53.87713456413857
Grächen,53.867648028328425
Aigle,53.86241249474617
Seuzach,53.84553720836472
Nesslau,53.807904038724104
Bettingen,53.80513026139226
Fehren,53.79407922872166
Boussens,53.78889908271503
Neuheim,53.76107094720614
Remetschwil,53.75798561155476
Full-Reuenthal,53.75320898850375
Honau,53.74136953859133
Lajoux (JU),53.740470752988216
Reichenburg,53.736211367997576
Titterten,53.72143147263027
Beinwil am See,53.72077721378413
Langnau im Emmental,53.720512462792954
Onex,53.7157591282202
Gontenschwil,53.710909941943534
Saint-Gingolph,53.69836364020802
Göschenen,53.69323098925621
Trun,53.69306412364721
Agarn,53.69137283624724
Henggart,53.68786380068277
Rüderswil,53.6755024793235
Bursinel,53.66772511151365
Le Mouret,53.667209078395416
Wil (SG),53.647924630851456
Courroux,53.64124219456362
Wettingen,53.63495361112946
Däniken,53.63000918717257
Saint-Aubin (FR),53.62802555669045
Fischingen,53.62518902983706
Böttstein,53.62510431515954
Rohrbachgraben,53.61640640538937
Icogne,53.61640640538931
Belmont-sur-Lausanne,53.613791791328694
Killwangen,53.61132047675204
Ollon,53.59481516712049
Morschach,53.58276400424854
Belmont-sur-Yverdon,53.57352362953196
Blenio,53.57102479466632
Dorf,53.56834625501399
Seelisberg,53.56606342540624
Orges,53.5643335213589
Les Genevez (JU),53.55637140733994
Quinto,53.55468011993988
Kandergrund,53.551093375950366
Stein (AG),53.550958394730245
Rumendingen,53.543660763914886
Céligny,53.54317133700038
Wichtrach,53.51209100023089
Oberbüren,53.50908797695326
Riniken,53.50128612865469
Pleigne,53.478710370850585
Vionnaz,53.456926567310006
Rapperswil (BE),53.45436802970289
Massonnens,53.442749294943326
Gampelen,53.433435862051944
Fürstenau,53.43250283050702
Andermatt,53.42890312355483
Kradolf-Schönenberg,53.42560620742586
Unterengstringen,53.42523708408061
Confignon,53.42012979405648
Starrkirch-Wil,53.41915183675287
Oberburg,53.41801630878954
Herbetswil,53.41293404816568
Onnens (VD),53.400027633974894
Kippel,53.39409053857359
Islisberg,53.393532131433076
Lüscherz,53.378600698624716
Zernez,53.37274637949457
Ramsen,53.371451551263256
Goms,53.362981296647554
Berg (TG),53.362227683630366
Schneisingen,53.35992405464147
Berg (SG),53.35641958536815
Airolo,53.34612550209244
Hölstein,53.33695133611378
Brenzikofen,53.33627632990777
Frauenkappelen,53.32583144700186
Crassier,53.32244887220193
Perroy,53.29791430451777
Bleienbach,53.29222337021008
Muotathal,53.28685439343978
Gaiserwald,53.28651837247022
Gerzensee,53.28051604501643
Stabio,53.27820259267809
Glarus Nord,53.27172878953627
Dietlikon,53.265023731738545
Bremgarten bei Bern,53.24051035106594
Büren (SO),53.231547690304104
Bussy-sur-Moudon,53.23105549190106
Lutzenberg,53.22895456331326
Uerkheim,53.220676817732894
Arboldswil,53.194138716602
Maienfeld,53.19208479282735
Coppet,53.17011228951484
Meyrin,53.16632479473506
Knonau,53.159096351888635
Ballwil,53.15883658092178
Löhningen,53.15806658460566
Läufelfingen,53.15020714982265
Adelboden,53.147106223323064
Menznau,53.14101224779691
Hergiswil (NW),53.14066542983152
Buttisholz,53.13881004831095
Günsberg,53.13482899130178
Lonay,53.131242247312194
Recherswil,53.12584998206224
Blatten,53.12158884589327
Salenstein,53.12149096051027
Männedorf,53.10154216274932
Münchwilen (AG),53.084476299828026
Orvin,53.081122630185185
Essertines-sur-Yverdon,53.064771308213466
Buus,53.05996044582682
Seegräben,53.059162603245376
Stans,53.05890545442578
Roche (VD),53.05805118453731
Fulenbach,53.05508643894752
Ferenbalm,53.05478029982003
Bannwil,53.045047726700794
Crémines,53.04271033825168
Vernayaz,53.04034404464585
Saas-Grund,53.03593679022796
Thusis,53.034441273593636
Elgg,53.03311926981363
Carouge (GE),53.02857592990686
Koblenz,53.02659575864022
Mies,53.02546964941067
Nürensdorf,53.01868668265329
Tenniken,53.0085438543195
Tschappina,53.0083769887107
Volketswil,53.00806301387911
Hemishofen,53.005789485003575
Begnins,52.995420184191936
Buchillon,52.991587402893224
Stansstad,52.99123418525249
Hausen am Albis,52.98801510185896
Aesch (LU),52.984951815321374
Gurmels,52.98010474503694
Schattdorf,52.97947801316631
Siviriez,52.97302453589658
Albinen,52.96996469677721
Chalais,52.9689573190832
Homburg,52.965829257137415
Weisslingen,52.96183440408311
Aesch (BL),52.95186709220458
Kehrsatz,52.94687537918411
Reconvilier,52.942655850206435
Châtillon (JU),52.925977945817195
Laupersdorf,52.910702590316696
Rothenfluh,52.91012546949354
Meinisberg,52.90759722791607
Waldstatt,52.90286249455544
Caslano,52.90062311527422
Sattel,52.89842079200365
Courchavon,52.89077381930455
Appenzell,52.88637085718479
Losone,52.88328139440899
Zwingen,52.88210388167625
Treycovagnes,52.87373819617789
Dänikon,52.87188004316906
Leissigen,52.869087552154824
Villeret,52.86660201177955
Kleinandelfingen,52.86494656953823
Personico,52.864743858770694
Echichens,52.86294088994264
Vinelz,52.862327298621466
Seeberg,52.85918534193812
Mümliswil-Ramiswil,52.858143823600855
Raron,52.85694861036038
Baden,52.85686452102264
Lütschental,52.84553771280398
Ursenbach,52.84348378902931
Grossdietwil,52.84219069040617
Unterlangenegg,52.83903168726051
Walliswil bei Wangen,52.83433852820728
Langenthal,52.833060143725376
Schlossrued,52.83190602586396
Grindel,52.827827083471504
Ochlenberg,52.82447341382836
Lignerolle,52.82447341382836
Varen,52.82019870067021
Lüterkofen-Ichertswil,52.80725498289882
S-chanf,52.80712542087056
Schlatt-Haslen,52.80480674610407
Fischbach,52.8015509618439
Schlatt (ZH),52.801453076461016
Steinhausen,52.799083521124786
Rechthalten,52.79637081583732
Ecublens (FR),52.794743089470984
Tannay,52.79344826123976
Aubonne,52.79252494779125
Dättlikon,52.78958165714704
Kirchlindach,52.78876114671856
Zillis-Reischen,52.78755663852929
Chamoson,52.786325872886735
Reinach (AG),52.77982649458822
Seengen,52.77647670070139
Tujetsch,52.77013558079052
La Sagne,52.76343509754756
Inkwil,52.756939595005946
Herzogenbuchsee,52.75399618057727
Calanca,52.74542804057804
Lengnau (BE),52.74129733855485
Wetzikon (ZH),52.7396997581127
Ziefen,52.73615384306738
Arlesheim,52.718158630847554
Samnaun,52.71722755720407
Niederglatt,52.716053472096135
Rothenbrunnen,52.71517363342939
Medel (Lucmagn),52.71295284404591
Péry-La Heutte,52.71181996378621
Iffwil,52.70774102139388
Hérémence,52.705059710252776
Aristau,52.70346907972417
Zäziwil,52.69802141123729
Prangins,52.69644672290264
Soubey,52.69596748746267
Avully,52.69596748746267
Untereggen,52.69205541067915
Matzendorf,52.68687526467264
Teufenthal (AG),52.68450009265875
Illgau,52.68177462189378
Bätterkinden,52.68115282809454
Hedingen,52.67682755023332
Lütisburg,52.67413959184708
Ponte Capriasca,52.66999929315915
Crésuz,52.65745731014643
Hospental,52.6537410041286
Vouvry,52.64567424801254
Kaufdorf,52.64548800544941
Bourrignon,52.642427991954925
Courgenay,52.64022253073918
Mühlau,52.63055657264088
Mervelier,52.62915894138953
Hüniken,52.629158941389456
Lostallo,52.62027578385564
Döttingen,52.618331688116605
Choulex,52.61672634344653
Wolfhalden,52.60630269814245
Senarclens,52.60345729288112
Orbe,52.597081933634456
Niederhünigen,52.5937060060791
Fideris,52.58285351566301
Boécourt,52.58216963104923
Schleitheim,52.58083514429071
Felsberg,52.57808132591702
Eichberg,52.5672657903312
Habkern,52.563186847938766
Nuvilly,52.557249752537444
Illnau-Effretikon,52.55526772172639
Quarten,52.54913887256613
Jenins,52.544176472737966
Neunkirch,52.54255025524336
Zeiningen,52.53798761087828
Aeschi bei Spiez,52.535892298968
Le Pâquier (FR),52.53209598816768
Münchenstein,52.53138604358602
Mergoscia,52.53127005854703
Mézières (FR),52.52612456841701
Crans-Montana,52.52536258819224
Crans (VD),52.52472693716592
Oberrohrdorf,52.52414009137553
Stäfa,52.5219106114364
Ependes (VD),52.51578021859807
Weiningen (ZH),52.51331868731307
Wil (ZH),52.51078288039451
Sonvilier,52.51032235863696
Kappel (SO),52.50211020776742
Meinier,52.498432225640286
Eppenberg-Wöschnau,52.496574072631354
Sagogn,52.495753562203085
Collex-Bossy,52.494784899848426
Andelfingen,52.49451705681992
Tägerwilen,52.49296050443874
Leytron,52.48631187374408
Fieschertal,52.48171826729385
Diegten,52.48110559406868
Glarus,52.47856313990526
Büsserach,52.47613716102226
Leibstadt,52.47493479898189
Horw,52.473528297184
Zell (LU),52.470731362407605
La Sarraz,52.47030072249224
Bürglen (TG),52.46982280989712
Therwil,52.4683895314518
Bever,52.46566060147091
