locality,years_covered,n_obs,annual_growth_pct_poisson,cagr_pct,p_value_year,deviance_explained,trend_score
Rougemont,2023-2025,3,130.27756348858338,100.0,2.023964101716192e-05,0.8542670023176061,111.29182363063374
Torricella-Taverne,2023-2025,3,89.68052532468975,73.20508075688772,9.439537556364584e-06,0.835024861177462,74.88546820957093
Soazza,2023-2025,3,46.83749459844384,41.42135623730952,4.701558518283293e-06,0.8055393535284598,37.72944511972318
Fontenais,2023-2025,3,46.83749459844384,41.42135623730952,4.701558518283293e-06,0.8055393535284598,37.72944511972318
Bottens,2022-2025,4,52.13797067980019,44.22495703074083,0.00023771467682954397,0.7118104083675567,37.11235020104427
Zernez,2014-2025,9,34.84233182750873,24.357522791237084,1.2485755935282224e-05,0.8128485074769005,28.321537423005378
Collombey-Muraz,2014-2025,11,29.558440459379142,20.80894444044472,3.028499887433678e-18,0.8710746418729809,25.747607937477515
Deitingen,2018-2025,8,32.84627719837789,21.90136542044754,2.809630269043364e-09,0.7708702762743911,25.3202187784988
Fischbach-Göslikon,2022-2025,4,31.288269144078782,25.99210498948732,8.93488527286057e-11,0.7928661679651815,24.807410058528973
Dierikon,2019-2025,7,27.11954481954799,20.093695517600274,1.1113349109390331e-13,0.853878489395412,23.156795963606807
Gland,2017-2025,9,28.547397667036556,31.60740129524924,4.513432522472974e-10,0.8096977044995873,23.114762360436373
Kleinandelfingen,2018-2025,8,24.322801740407286,21.90136542044754,2.5076957764327916e-38,0.9374910263291013,22.802408366813676
Gletterens,2014-2017,3,25.992104989487295,25.99210498948732,2.858339076202994e-09,0.8559155372383376,22.247046506032294
Porrentruy,2014-2025,12,28.813888182243996,28.666489800943175,8.077816941744476e-11,0.7614761190367028,21.941087747372674
Oftringen,2014-2025,12,22.8051533802611,20.80894444044472,1.0915732947614251e-73,0.9584679629633232,21.858008905445
Lausen,2020-2025,6,28.28003551860876,31.95079107728942,5.898845588978097e-07,0.7600858476451954,21.49525476859797
Randa,2021-2025,5,34.50649900475384,31.60740129524924,0.003509052891530671,0.6187381482613454,21.350487297183353
Malans,2021-2025,5,34.50649900475384,31.60740129524924,0.003509052891530671,0.6187381482613454,21.350487297183353
Biberist,2014-2025,12,22.854392375438735,17.690395624285273,4.703689085489267e-38,0.9280006932799313,21.208891968898723
Avers,2015-2025,11,25.72167681384643,17.461894308801895,4.280448075514768e-18,0.8030292617634576,20.65525914314134
Altdorf (UR),2014-2025,12,21.61702035253914,17.235924663573265,9.798164804747573e-51,0.9381742352318552,20.280531537234854
Gerlafingen,2016-2025,10,23.74393382903659,25.99210498948732,1.893444609455835e-11,0.8267672195797651,19.630706153718506
Stettlen,2015-2025,11,21.43522688356809,17.461894308801895,2.225837890402973e-39,0.9129699599717612,19.56971822987678
Langenthal,2014-2025,12,21.323177717923336,20.80894444044472,4.905080052901948e-22,0.9153471027646896,19.51810894583771
Tenero-Contra,2015-2025,11,24.14097968103568,25.892541179416728,1.4248355197803147e-14,0.7991994546968566,19.293457796931612
Alpnach,2014-2025,12,20.305373030214557,20.80894444044472,2.6443456237436183e-36,0.9487848266813266,19.2654298311718
Aesch (BL),2015-2025,11,22.23870121033389,21.48140440390669,8.458696351110776e-17,0.8539219970618819,18.990116149590804
Collex-Bossy,2023-2025,3,24.103699851965743,22.474487139158896,5.521378050704328e-06,0.7831367155198916,18.876492333945748
Conthey,2014-2025,12,23.809880382578143,15.755791177065447,2.903849444796778e-18,0.7919567658949854,18.856395864133045
Prilly,2014-2025,12,20.131677775787104,15.755791177065447,8.539654668348672e-43,0.9306612778706044,18.735772964493272
Saas-Almagell,2014-2025,12,21.513051353550328,23.284673944206613,1.2849284922297784e-20,0.8666869017215981,18.645079824186165
Täsch,2015-2025,11,21.319473115079003,19.623119885131544,5.4534681475796156e-15,0.8744465723839856,18.642740190513365
Grono,2016-2025,10,20.363947739891252,16.652903957611652,4.429717913321844e-26,0.9131353304612695,18.59504014896162
Le Mont-sur-Lausanne,2014-2025,12,19.677171801750326,20.80894444044472,1.602813552813172e-33,0.9447179711747069,18.58937782300572
Coppet,2022-2025,4,27.63770800220633,25.99210498948732,0.0010253117666528917,0.6707741828498281,18.53866100102211
Heiden,2014-2025,12,20.10983343533701,14.652348684570594,5.739625914842346e-21,0.9034050751986518,18.167325586882992
Sierre,2014-2025,12,18.40552547927523,16.015929672934814,2.8556571785780163e-59,0.9593655535438567,17.65762713969044
Feuerthalen,2015-2025,11,19.985012986724904,17.461894308801895,4.586533036109717e-23,0.8831058887678692,17.648882655679106
Meiringen,2014-2025,12,18.418046546427735,15.755791177065447,4.6527033116682034e-45,0.9525187456540792,17.54353459380179
Paradiso,2017-2025,9,20.89711259824969,33.352143216332394,1.3149473704544123e-08,0.8232954715301901,17.204498170195457
Saas-Grund,2014-2025,12,21.00682679931669,17.690395624285273,1.1615359467180827e-19,0.8181999466948282,17.187784567428405
Versoix,2014-2025,12,19.799975691671246,19.35128371696202,1.1942876463455382e-19,0.8656482678583807,17.139814661133258
Mesocco,2014-2025,12,17.67420226116776,15.755791177065447,2.0881820678028172e-70,0.9664643770529809,17.081486878247887
Collina d'Oro,2014-2025,12,19.453101642088953,26.260521121965308,4.656167556236505e-19,0.8707649095078589,16.939078291020767
Kloten,2014-2025,12,18.22831283292501,14.546579934692371,7.071140959033736e-51,0.9199349260689019,16.768861618317686
Matten bei Interlaken,2014-2025,12,17.680191700217552,20.80894444044472,2.049697975804919e-51,0.9462876052504101,16.730546264367046
Gruyères,2014-2025,12,19.393111153962582,17.690395624285273,2.712217346948554e-30,0.860032317667537,16.6787023325266
Ayent,2014-2025,12,18.89125746890812,15.032033788420375,1.713021133777823e-28,0.8799435434144612,16.623240036745916
Vevey,2014-2025,12,18.273815983892703,15.18046468882892,1.3675424159823072e-37,0.9005510692397503,16.456504523385014
Vétroz,2014-2025,12,21.00682680017274,14.259657515542479,1.2466952098060076e-18,0.7806194032348669,16.398336600609053
Dornach,2014-2025,12,18.809751867756464,22.10946234986555,4.00429385360465e-18,0.8649503919310951,16.2695022501426
Saillon,2014-2025,12,18.264233478694525,19.35128371696202,2.0122237150252198e-22,0.8865521385152401,16.192195248878274
Magliaso,2017-2025,9,18.251993167638926,22.284454499385188,1.5938580283398858e-21,0.8707995520408836,15.893827474233243
Ligerz,2014-2025,12,17.638671608606636,15.755791177065447,6.967077557773225e-37,0.8995977459145372,15.867709220029274
Moutier,2014-2025,12,21.20409460615733,15.032033788420375,1.7818926468498322e-13,0.7427048019079965,15.748382884104496
Bürglen (TG),2015-2025,11,23.500610862833284,17.461894308801895,1.1122521256625409e-09,0.6687940605593226,15.717068964578797
Menziken,2014-2025,12,24.727273732991772,25.345107172309,0.0033972046712460197,0.6169929081162261,15.256552530304564
