locality,trend_score
Rougemont,10.0
Torricella-Taverne,6.72874841714412
Soazza,3.390136300124201
Fontenais,3.390136300124201
Bottens,3.3346879393598936
Zernez,2.5447994739489292
Collombey-Muraz,2.3135219729107157
Deitingen,2.275119407022571
Fischbach-Göslikon,2.229041563813551
Dierikon,2.0807275151193374
Gland,2.0769506336019723
Kleinandelfingen,2.0488844214191833
Gletterens,1.998983014230046
Porrentruy,1.9714914385977642
Oftringen,1.964026483921183
Lausen,1.9314316242978045
Randa,1.9184237081102609
Malans,1.9184237081102609
Biberist,1.905700821229139
Avers,1.8559547745119216
Altdorf (UR),1.8222840524694675
Gerlafingen,1.7638947330821735
Stettlen,1.7584147326785378
Langenthal,1.7537774392678056
Tenero-Contra,1.7335916662633397
Alpnach,1.731073245336675
Aesch (BL),1.7063352481865217
Collex-Bossy,1.6961257097012723
Conthey,1.6943199643053302
Prilly,1.6834815311028954
Saas-Almagell,1.675332402321602
Täsch,1.675122177203846
Grono,1.6708361443223958
Le Mont-sur-Lausanne,1.6703273624756096
Coppet,1.665770260225948
Heiden,1.632404339709492
Sierre,1.5866059665168497
Feuerthalen,1.585820240869981
Meiringen,1.5763543108096603
Paradiso,1.5458905792841922
Saas-Grund,1.5443887975520032
Versoix,1.540078516281534
Mesocco,1.534837539812413
Collina d'Oro,1.522041578475688
Kloten,1.5067469533046591
Matten bei Interlaken,1.5033041708341512
Gruyères,1.4986457934125978
Ayent,1.493662292022167
Vevey,1.4786804624571954
Vétroz,1.4734538500360517
Dornach,1.4618775862761875
Saillon,1.454931253765643
Magliaso,1.428121757352386
Ligerz,1.4257749313815353
Moutier,1.4150529994343322
Bürglen (TG),1.4122393228762387
Menziken,1.370860143413546
Riedholz,1.3695667451969227
Rochefort,1.3534385357431156
Ursenbach,1.3393891623460719
Landquart,1.338877951188915
Fraubrunnen,1.301918582084787
Stansstad,1.2888490948874287
Muntogna da Schons,1.2649276501832425
Plan-les-Ouates,1.248273218821421
Roveredo (GR),1.2415137467662933
Egerkingen,1.2398004512321175
Ebikon,1.2353099567227612
Eschlikon,1.2251006827119961
Haute-Sorne,1.2230874629583437
Sion,1.2195083850097044
Saint-Léonard,1.2195023915322285
Küsnacht (ZH),1.2146843522169128
Crissier,1.20675619548894
Rheinau,1.1980056261947873
Ardon,1.1944294965240578
Ollon,1.1786384509511987
Frenkendorf,1.176265011505127
Interlaken,1.1730289244172603
Aubonne,1.1641474792127424
Vouvry,1.1596152629471685
Onsernone,1.1574272675337165
Wilderswil,1.1518036603320587
Collonge-Bellerive,1.142405382329991
Roche (VD),1.138928173008553
Rickenbach (ZH),1.1308358810180152
Amriswil,1.1307724770733
Balsthal,1.128988649702601
Manno,1.1203285134408587
Sattel,1.1185391895159862
Savigny,1.1185391895159862
Val-de-Charmey,1.1146431159729477
Bergün Filisur,1.113058625121645
Savièse,1.1122130675231598
Gampelen,1.10842755857407
Cheseaux-Noréaz,1.10842755857407
Elgg,1.1067361789958974
Lyss,1.1062797064176055
Arlesheim,1.103572870454361
Bürglen (UR),1.0997504038108887
Montfaucon,1.099683007830308
Leukerbad,1.089926424044891
Liestal,1.0897298292456334
Saint-Prex,1.0827363648379744
Konolfingen,1.080317676540272
Zuoz,1.0792069836404998
Birmensdorf (ZH),1.0791465517600138
Aedermannsdorf,1.0759685383757678
Spiez,1.0681799799896232
Kradolf-Schönenberg,1.0670249515239314
Payerne,1.0657953119221857
Monteceneri,1.0656583108697075
Baar,1.0542835642101405
Montreux,1.050241101116914
Kappelen,1.0354855269459846
Monthey,1.0334199081833497
Aarburg,1.031244981402788
Raron,1.0312008889565454
Chur,1.0301173259942322
Leissigen,1.0234281768315365
Bas-Intyamon,1.0234281768315365
Herisau,1.013378630601044
Pratteln,1.0029908926046747
Böztal,1.0010753006276367
Eschenz,1.0002920902205832
Reichenburg,0.9929207327043943
Goms,0.981246302277883
Thusis,0.9765365494047428
Courrendlin,0.9684534165889138
Wangen an der Aare,0.9659557628914234
Suhr,0.9620607334418498
Nuglar-St. Pantaleon,0.9618209966764779
Walzenhausen,0.9617998790153905
La Neuveville,0.9606857220542915
Udligenswil,0.9601213627854825
Eschenbach (LU),0.9533436188957964
Utzenstorf,0.953180140520659
Bättwil,0.9526395307898119
Lostorf,0.9526395307898119
Genève,0.9481171098269997
Eggenwil,0.947107794486599
Fiez,0.947107794486599
Fürstenau,0.9357865048159154
Avusy,0.9349754054164094
Calanca,0.9349754054164094
Rossa,0.9349754054164094
Massongex,0.9349754054164078
Lamone,0.9329268547198429
San Vittore,0.9258085989896453
Muolen,0.9256784631424276
Crans (VD),0.9256784631424276
Lens,0.9248816440897817
Buchs (AG),0.9232246006612285
Marbach (SG),0.9130099319547532
Meinier,0.906294380307373
Habkern,0.9040938940275992
Goldach,0.8980056087362914
Derendingen,0.8976934097529615
Chavannes-près-Renens,0.8975928811547964
Bullet,0.897448255654464
Bex,0.8960864533671716
Bulle,0.8919688841786707
Val-de-Travers,0.8884225889402744
Pontresina,0.8780803435547482
Riederalp,0.8641121001672709
Seftigen,0.8590746699824984
