locality,trend_score
Ursins,2.4657808126171865
Pailly,0.18459973250847578
Avusy,0.1842465050885438
Rennaz,0.17880435751756346
Prévondavaux,0.17812399977402674
Crésuz,0.1577198166929221
Lüterswil-Gächliwil,0.15527061338694692
Montet (Glâne),0.1498481263080676
Lütschental,0.13716437946096077
Fläsch,0.13260062917662083
Bühler,0.1260003135930643
Zielebach,0.1249485530335783
Les Planchettes,0.1177905085248014
Coinsins,0.1145982495738642
Ependes (VD),0.11265342497720962
Tschappina,0.11238670829448313
Féchy,0.1107811244925808
Oberbuchsiten,0.10849485740734656
Démoret,0.10842184510882606
Dalpe,0.1073411352697195
Brunegg,0.10606350406993911
Cerentino,0.10405236183968632
Courchapoix,0.10370905712916914
Ropraz,0.10221858168070569
Inden,0.09863917226079864
Freimettigen,0.09796868117259838
Corcelles-le-Jorat,0.0971353288740502
Collonges,0.09589678343998323
Bretonnières,0.0944099019102354
Vufflens-la-Ville,0.09349267465994732
Les Genevez (JU),0.0923882842746908
Attiswil,0.09224933310617527
Furna,0.09116730176216896
Rivaz,0.09044760224844875
Cadempino,0.08947175819841516
Provence,0.08867185011629686
L'Abergement,0.08821863711727895
Niederried bei Interlaken,0.08620003447754784
Fontaines-sur-Grandson,0.08573062101207966
Treiten,0.08447787251587788
Arnex-sur-Nyon,0.0844256437693057
Saulcy,0.08435281179821542
Delley-Portalban,0.08433287455937485
Randa,0.08242508164271535
Aristau,0.0818472021990743
Grandcour,0.07962249351582591
Meienried,0.07688958720037194
Mont-la-Ville,0.07676997871469832
Corsier-sur-Vevey,0.07674982339451503
Bure,0.07664462563794945
Burg im Leimental,0.07643289009513006
Hofstetten bei Brienz,0.07523061399774825
Chapelle (Glâne),0.07514348887962674
Bellevue,0.07508560174173483
Wiliberg,0.0742312482798023
Courtételle,0.07335358911158706
Mathod,0.07315979620761158
Poliez-Pittet,0.07053626206536268
Untervaz,0.0702721441864781
Baltschieder,0.06997076295446217
Göschenen,0.06995325765840252
Alberswil,0.06887855675804644
Champagne,0.06855038752891049
Eggersriet,0.067546514213126
Känerkinden,0.06751298693632056
Mauborget,0.0675063634841012
Pomy,0.06733221217755747
Rossenges,0.06724996214923303
Baulmes,0.06701234464274085
Kappelen,0.0657550044823136
Villars-Sainte-Croix,0.06569692742253194
Recherswil,0.06525917890454282
Iffwil,0.06486668469689057
Vuarrens,0.06466724979074119
Oberhallau,0.06455661418674676
Dänikon,0.06447972825011611
Chevilly,0.06444238526937253
Lussy-sur-Morges,0.06398528945023298
Regensberg,0.06358193421864863
Mézières (FR),0.0634983484412956
Cademario,0.06340552761416536
Remetschwil,0.06304632623239899
Plateau de Diesse,0.06303307140294356
Rickenbach (LU),0.06170022227474872
Stansstad,0.06145220510298732
Champvent,0.06132757616751712
Oekingen,0.06090566849226325
Wintersingen,0.060277962648541676
Andwil (SG),0.06019517750221628
Ried bei Kerzers,0.060093891669337485
Schenkon,0.059839034631354926
Schönengrund,0.059828683977117124
Orpund,0.059214902000524997
Veytaux,0.05902587206880154
Ogens,0.05852132180194766
Stettfurt,0.05836776682166757
Tobel-Tägerschen,0.05816233923671311
Niederönz,0.057969037368290996
Soazza,0.05770364881510041
Valeyres-sous-Ursins,0.05765751755637338
Bretigny-sur-Morrens,0.057577123270165426
Chessel,0.05751535384880792
Vaux-sur-Morges,0.05736793977075271
Giornico,0.056534227614002425
Weiach,0.05653422232741498
Dierikon,0.056433393713186585
Mollens (VD),0.056426363792190105
Vulliens,0.056207896865525984
Les Enfers,0.056022525585330676
Plan-les-Ouates,0.05602045677910986
Rougemont,0.055913811275155906
Sorens,0.055809992881168675
Dittingen,0.05549261108994887
Unterramsern,0.05527012157356769
La Praz,0.05507542710982086
Zollikofen,0.05489190592108844
Aesch (ZH),0.054840125037377736
Schlatt (ZH),0.054743868602575976
Walperswil,0.054620744212567456
Felben-Wellhausen,0.05436979625807523
Staufen,0.05430648402532836
Fehren,0.054302836686056816
Cormoret,0.054135192469245155
Villorsonnens,0.05376714864724047
Madulain,0.05361267119593319
Henniez,0.05352409619189703
Kleinbösingen,0.053499300536899226
Trient,0.05331066044662694
Hospental,0.05298069169419436
Gibloux,0.05277690945954996
Bühl,0.05273044860124779
Personico,0.05272733935232123
Nuvilly,0.05265891553897806
Pleigne,0.052537793890393175
Tegerfelden,0.05246178643895591
Birr,0.052306165043745495
Botterens,0.052192602175493895
Finhaut,0.05212889015669391
Prez,0.05206513573540219
Seftigen,0.05205577767024736
Cugy (FR),0.05205436386775493
Grens,0.05192234282698631
Remaufens,0.051739348743623445
Hermrigen,0.05156002881330646
Kriegstetten,0.05152985700412302
Bursins,0.051508713086738135
Orges,0.05149506843041338
Rothenburg,0.05115145217585575
Bonaduz,0.05101335756948307
Duillier,0.05070529985274477
Lengnau (BE),0.05058621440319143
Aranno,0.05050097963686423
Lalden,0.05045451155252225
Ersigen,0.05025438307333166
Saillon,0.050094736477922695
Cronay,0.05008635463297838
Burtigny,0.049977112461918737
Zuzwil (BE),0.04991066957893104
Montpreveyres,0.04990928259608184
Hellsau,0.049839756460584445
Luzein,0.049623842548449315
Tecknau,0.04950208006651172
Laax,0.04947460429513225
Fieschertal,0.04913323466927235
Blumenstein,0.049116664647241626
Liddes,0.04908602825359428
Eschert,0.0489966799225549
Valbroye,0.04895179041788929
Corcelles-près-Payerne,0.048927691975278284
Malans,0.048856488269484695
Grellingen,0.04860872416183854
Guttet-Feschel,0.048525537767294326
Büttenhardt,0.04851426855359985
Laufen-Uhwiesen,0.04845832401186624
Chénens,0.048394194690407594
Uebeschi,0.04830336215748793
Bardonnex,0.04825777749831194
Bettwiesen,0.048167121070308135
Mumpf,0.04813426226318591
Hallau,0.04811864685665627
Sennwald,0.04801403819208648
Russin,0.048013087798356766
Stabio,0.04791306943972338
Orzens,0.047761784627856366
Corgémont,0.04769840035195387
Fahrni,0.04760712172603575
Conters im Prättigau,0.04750534859059999
Le Pâquier (FR),0.04750113049195475
Coldrerio,0.04747374769044628
Les Ponts-de-Martel,0.04731413186269206
Bioley-Magnoux,0.04726920320379149
Selzach,0.04706581522695606
Gunzgen,0.047028709954377274
Treyvaux,0.04701677062952573
Troinex,0.04683568374820318
Arogno,0.046698001322565484
Jouxtens-Mézery,0.046569516639794264
Mauraz,0.04646471977154868
Kappel am Albis,0.0463456255037094
Dozwil,0.04631379584992342
Chigny,0.04613398999779896
Herbetswil,0.046044558666063634
Saint-Oyens,0.045953784133679294
Altikon,0.04579773847001134
Vétroz,0.04575890304021627
Donneloye,0.045713987739377474
