locality,trend_score
Zürich,10.0
Troinex,9.994099507214898
Niederweningen,9.553096967339346
Birrhard,9.329229500039487
Renens (VD),9.309870879077334
Crissier,9.30204932955597
Nendaz,9.288887621603736
Monthey,9.260072723723964
Weinfelden,9.173471856109035
Broc,9.130661153955089
Satigny,9.077778738841138
Plan-les-Ouates,9.030227603979998
Schwaderloch,8.999610389636809
Blonay - Saint-Légier,8.971937480282126
Lancy,8.956761221000233
Alpnach,8.953821244336991
Bodio,8.952598194367393
Echallens,8.9098085821326
Burgdorf,8.900283096784719
Münchenbuchsee,8.889813951279073
Küttigen,8.84856372905482
Saint-Cergue,8.759275781100937
Arbon,8.702162106304261
Saillon,8.669244255224394
Pregny-Chambésy,8.66788697542321
Mettmenstetten,8.570720785176812
Riehen,8.512931960888501
Treyvaux,8.510606408895018
Oberlunkhofen,8.506886581148555
Sion,8.483511326210365
Courtepin,8.476833248412907
Zunzgen,8.400907986295916
Anières,8.394088294252214
Chêne-Bougeries,8.392752189025495
Dübendorf,8.390262213190539
Morlon,8.377855507499754
Binningen,8.353275443056283
Mönchaltorf,8.346894539581875
Rupperswil,8.337059492930113
Cossonay,8.312396024082354
Ruswil,8.310732766399394
Spiez,8.30951576434907
Embrach,8.307655915894603
Fully,8.30279591733325
Vandoeuvres,8.291261111136526
Bernex,8.287274888297011
Regensdorf,8.284675036811166
Stetten (AG),8.270918749473623
Sins,8.270380779721457
Chêne-Bourg,8.266182851135357
Zollikofen,8.233294808465427
Trélex,8.222301762312007
Signy-Avenex,8.212259296463476
Auenstein,8.209168434686076
Brittnau,8.205730775835233
Basel,8.20421807215396
Sumvitg,8.188220940754615
Eschenbach (SG),8.185954206438083
Cortébert,8.169190689646722
Versoix,8.168389110232951
Chêne-Pâquier,8.148841358406365
Fehraltorf,8.146980874485376
Zufikon,8.145284273252257
Ecublens (VD),8.139560850114405
Dulliken,8.131840504846435
La Grande Béroche,8.12523507177133
Alle,8.123657611415036
Romanel-sur-Lausanne,8.114186884740864
Lignières,8.108555698561005
Hettlingen,8.104390945669108
Fislisbach,8.103612586040287
Unterbäch,8.098192188810634
St. Margrethen,8.094649461442467
Bennwil,8.09086619001583
Hinwil,8.083057935984105
Ennetbürgen,8.08302122769365
Stallikon,8.082436894526063
Thundorf,8.077373305746542
Escholzmatt-Marbach,8.07214096156037
Steinmaur,8.071930536079932
Liestal,8.067356250889809
Otelfingen,8.065150089905984
Gampel-Bratsch,8.06304685110498
Oberrieden,8.0564774677889
Boniswil,8.051890487222373
Reigoldswil,8.048655292694114
Kemmental,8.039593161010373
Uzwil,8.03895571021881
Seon,8.036336963507752
Thalheim an der Thur,8.028841044663684
Lindau,8.02205613999118
Le Grand-Saconnex,8.011188600187815
Menziken,8.008574151277367
Boncourt,8.007908540435672
Oetwil am See,8.005402977741404
Vallorbe,8.00252670600468
Ittigen,7.996442496371394
Hasle (LU),7.99507334627907
Walkringen,7.9944038470623555
Hallau,7.990936330609726
