locality,trend_score
Zürich,61.0
Lausanne,59.490847943446504
Lancy,44.35669617994548
Bern,39.39915065520902
Dübendorf,37.31596777647345
Winterthur,37.11056404557541
Meyrin,33.11141116149645
Bülach,32.934787678709085
Schlieren,30.512783124624786
Bussigny,30.393745571501924
Crissier,29.05028209150708
Chêne-Bougeries,28.728336308801268
Plan-les-Ouates,28.71105070805448
Vevey,28.680231417752832
Nyon,28.637768516868885
Genève,28.326409028463246
Morges,27.95612017849185
Lenzburg,27.897450816495578
Châtel-Saint-Denis,26.781036977299767
Bulle,26.760641071061126
Thônex,26.68881140733529
Martigny,26.601329985934118
Renens (VD),26.14433154171969
Le Mont-sur-Lausanne,26.04827391685079
Staufen,26.037265161114533
Opfikon,25.964765088286562
Vernier,25.698205612912183
Kloten,25.410153571716126
Köniz,24.802085894271674
Horw,24.481788335836665
Wallisellen,24.42565421350168
Uitikon,24.405901338608686
La Tour-de-Peilz,24.291503295444382
Saxon,24.237667105460666
Chavannes-près-Renens,24.127017553959565
Blonay - Saint-Légier,24.119157136826146
Liestal,24.056518067753203
Cossonay,24.025646745376207
Pully,23.864104999721807
Sion,23.76938732706902
Aigle,23.5127489793481
Uzwil,23.474373611070448
Mont-Vully,23.134824634299363
Collombey-Muraz,22.58438859125738
Root,22.563472621668627
Gibloux,22.50470254657885
Menziken,22.435891327356227
Zell (ZH),22.2741595806803
Regensdorf,22.249095804133603
Aarburg,22.141674906493833
Bremgarten (AG),22.079664630808303
Chamoson,22.016817030610678
Orbe,21.963633071751985
Ardon,21.914166694033966
Biberist,21.88068558811299
Lufingen,21.86770075843515
Kilchberg (ZH),21.85692099357868
Weiach,21.80557958948777
Bex,21.79179084372869
Fällanden,21.704767559622805
Mettmenstetten,21.662346557223326
Lutry,21.660909192258405
Bellevue,21.629849888766657
Prilly,21.61655242171903
Gränichen,21.570009473546772
Düdingen,21.542078179974663
Riddes,21.51314008827321
Sursee,21.496480816917252
Niederrohrdorf,21.482380066510594
Muri (AG),21.480951147847094
Zollikofen,21.45646339559487
Gland,21.436099206869315
Saillon,21.430110715939602
Saint-Sulpice (VD),21.429447599612118
Chavornay,21.365239296782434
Pieterlen,21.34800660887109
Romanel-sur-Lausanne,21.335417017220262
Pfäffikon,21.302722335084788
Vechigen,21.30074506394382
Birmensdorf (ZH),21.255660062713496
Lausen,21.25516196006826
Carouge (GE),21.252456651419212
Estavayer,21.24434293199147
Widnau,21.23178904239732
Haute-Sorne,21.19870370102723
Wauwil,21.192407309620258
Troinex,21.19033298085195
Bad Ragaz,21.15234133078819
Roggwil (TG),21.114119416548945
Suhr,21.0869162165071
Unterkulm,21.076424873855917
Collonge-Bellerive,21.068092261691927
Spreitenbach,20.980452099134723
Oberkirch,20.976181689373604
Belmont-Broye,20.962028944858993
Epalinges,20.95955828892312
Cologny,20.940276989503108
Grimisuat,20.918031953852374
Bütschwil-Ganterschwil,20.910071368763855
Saint-Léonard,20.895608023028238
Höri,20.888599084784484
Echallens,20.872962387034256
Montreux,20.840289790402643
Rickenbach (LU),20.83339353958516
Rolle,20.82423679853773
Bas-Intyamon,20.811706190735507
Au (SG),20.790704183430595
Jongny,20.756352655133803
Echichens,20.750342294551984
Ollon,20.735302354027034
Marsens,20.728651063733693
Corcelles-près-Payerne,20.67751843559397
Eschlikon,20.675567555338883
Le Grand-Saconnex,20.67405030967563
Wald (ZH),20.673151984523535
Obfelden,20.591639694880804
Rain,20.565663376858893
Winkel,20.55271557279853
Montagny (FR),20.55168685456504
Gachnang,20.524156817367796
