locality,trend_score
Zürich,7.8
Lausanne,6.75259802351582
Lancy,6.571589537695981
Bern,6.458877156591642
Dübendorf,6.117371766634992
Winterthur,6.083699023864821
Meyrin,5.428100190409254
Bülach,5.39914552109985
Schlieren,5.002095594200783
Bussigny,4.982581241229824
Crissier,4.76234132647657
Chêne-Bougeries,4.709563329311683
Plan-les-Ouates,4.706729624271226
Vevey,4.701677281598825
Nyon,4.694716150306375
Genève,4.643673611223484
Morges,4.582970521064238
Lenzburg,4.573352592868127
Châtel-Saint-Denis,4.390333930704879
Bulle,4.386990339518218
Thônex,4.375214984809063
Martigny,4.360873768185922
Renens (VD),4.285955990445851
Le Mont-sur-Lausanne,4.270208838827998
Staufen,4.268404124772874
Opfikon,4.256518866932223
Vernier,4.212820592280686
Kloten,4.165598946182972
Köniz,4.065915720372406
Horw,4.01340792390765
Wallisellen,4.004205608770767
Uitikon,4.000967432558801
La Tour-de-Peilz,3.9822136549908826
Saxon,3.9733880500755183
Chavannes-près-Renens,3.9552487793376336
Blonay - Saint-Légier,3.9539601863649416
Liestal,3.9436914865169186
Cossonay,3.9386306139960996
Pully,3.912148360610132
Sion,3.896620873290003
Aigle,3.8545490130078854
Uzwil,3.848257969027942
Mont-Vully,3.792594202344158
Collombey-Muraz,3.7023587854520295
Root,3.6989299379784635
Gibloux,3.6892954994391562
Menziken,3.6780149716977424
Zell (ZH),3.6515015706033283
Regensdorf,3.6473927547760003
Aarburg,3.6297827715563664
Bremgarten (AG),3.619617152591525
Chamoson,3.6093142673132266
Orbe,3.6005955855331124
Ardon,3.592486343284257
Biberist,3.5869976373955716
Lufingen,3.5848689767926474
Kilchberg (ZH),3.5831018022260133
Weiach,3.574685178604552
Bex,3.5724247284801134
Fällanden,3.5581586163316077
Mettmenstetten,3.5512043536431683
Lutry,3.5509687200423614
Bellevue,3.545877030945354
Prilly,3.5436971183145953
Gränichen,3.536067126810946
Düdingen,3.531488226225355
Riddes,3.5267442767661006
Sursee,3.524013248674959
Niederrohrdorf,3.521701650247639
Muri (AG),3.5214674012864084
Zollikofen,3.51745301567129
Gland,3.514114624076937
Saillon,3.5131329042523936
Saint-Sulpice (VD),3.513024196657725
Chavornay,3.50249824537417
Pieterlen,3.499673214569031
Romanel-sur-Lausanne,3.4976093470852896
Pfäffikon,3.4922495631286536
Vechigen,3.4919254203186587
Birmensdorf (ZH),3.484534436510409
Lausen,3.4844527803390593
Carouge (GE),3.484009287117903
Estavayer,3.482679169178929
Widnau,3.480621154491364
Haute-Sorne,3.475197328037251
Wauwil,3.4741651327246323
Troinex,3.473825078828188
Bad Ragaz,3.4675969394734736
Roggwil (TG),3.4613310518932696
