locality,trend_score
Rougemont,111.29182363063374
Torricella-Taverne,74.88546820957093
Fontenais,37.72944511972318
Soazza,37.72944511972318
Bottens,37.11235020104427
Kappelen,36.67462246681458
Ayent,31.681142172854802
Conthey,26.991593030539484
Zernez,26.803624916379786
Collombey-Muraz,25.747607937477515
Deitingen,25.3202187784988
Fischbach-Göslikon,24.807410058528973
Mesocco,24.15193593356325
Hauterive (NE),23.681164602129304
Le Noirmont,23.156795963606807
Dierikon,23.156795963606807
Gland,23.114762360436373
Kleinandelfingen,22.802408366813676
Porrentruy,21.941087747372674
Oftringen,21.858008905445
Stettlen,21.548938646123474
Lausen,21.49525476859797
Randa,21.350487297183353
Malans,21.350487297183353
Biberist,21.208891968898723
Langenthal,20.829956689994237
Avers,20.65525914314134
Altdorf (UR),20.280531537234854
Feuerthalen,20.231011528829555
Versoix,20.085319292771427
Bergün Filisur,19.700981856829774
Aesch (BL),19.674343045295192
Gerlafingen,19.630706153718506
Alpnach,19.397536152939768
Tenero-Contra,19.167871556040794
Muolen,19.021098951520713
Collex-Bossy,18.876492333945748
Prilly,18.735772964493272
Täsch,18.642740190513365
Le Mont-sur-Lausanne,18.58937782300572
Coppet,18.53866100102211
Sierre,18.296178982750067
Heiden,18.167325586882992
Meiringen,18.058123170080652
Grono,18.038981773905547
La Punt Chamues-ch,17.840928183644674
Onsernone,17.428035078268454
Paradiso,17.204498170195457
Gruyères,16.97638662082196
Kloten,16.88237621175346
Saas-Grund,16.641398955932786
Binningen,16.44517007229046
Vétroz,16.398336600609053
Vevey,16.362631008620976
Collina d'Oro,16.203619349191765
Matten bei Interlaken,15.905504097828336
Magliaso,15.893827474233243
Ligerz,15.867709220029274
Crissier,15.812647767837795
Ollon,15.78239115251487
Saas-Almagell,15.731362974501309
Val-de-Travers,15.264663187614524
Menziken,15.256552530304564
Riedholz,15.242158065683705
Chavannes-près-Renens,15.225822059749639
Moutier,15.177985005353122
Rochefort,15.062664281482599
Wangen an der Aare,15.054198063183213
Ursenbach,14.90630624286013
Sembrancher,14.90630624286013
Landquart,14.900616880666101
Payerne,14.896724786358085
Sion,14.882028101408714
Saillon,14.826070753157602
Eschenz,14.700464551548357
Stansstad,14.343836615471368
Plan-les-Ouates,14.31748242665341
Muntogna da Schons,14.077610494970541
Roveredo (GR),13.817032894012161
Egerkingen,13.797965315570494
Haute-Sorne,13.611963421239928
Pratteln,13.579077034359564
Interlaken,13.576306375935385
Küsnacht (ZH),13.518443669381526
Leukerbad,13.34841413726021
Ardon,13.29302368663821
Frenkendorf,13.090867820331397
Vouvry,12.905569732330726
Ebikon,12.875749256194917
Wilderswil,12.818632982279384
Collonge-Bellerive,12.714037832495606
Roche (VD),12.675339335842779
Hauptwil-Gottshaus,12.588913401463044
Rickenbach (ZH),12.585278742544928
Amriswil,12.584573108481655
Balsthal,12.56472056836892
Utzenstorf,12.535642444729007
Manno,12.468340332623013
Savigny,12.448426620356514
Sattel,12.448426620356514
Val-de-Charmey,12.405066507396134
Savièse,12.378022055047365
Cheseaux-Noréaz,12.335892435615934
Elgg,12.317068763845292
Chur,12.31500196625929
Lyss,12.311988597277745
Arlesheim,12.281863726215898
Rheinau,12.25792668371705
Bürglen (UR),12.239322797863966
Marly,12.132203296411442
Montreux,12.095748279348578
Saint-Prex,12.049970455402137
Konolfingen,12.023052432257595
Zuoz,12.010691328426674
Birmensdorf (ZH),12.010018771008204
Saint-Imier,12.005026279005584
Muriaux,11.976407043543041
Liestal,11.96463339021492
Spiez,11.887969793877902
Kradolf-Schönenberg,11.875115271448687
Chêne-Bourg,11.812962073590272
Le Chenit,11.788699442438833
Baar,11.733314048475089
Eschlikon,11.72158142013258
Martigny-Combe,11.705861935632841
Thusis,11.647073852488221
Monthey,11.50111861579271
Giornico,11.48454517994339
Rothenthurm,11.481911968971865
Aarburg,11.476913459025523
Bas-Intyamon,11.38991881545564
Leissigen,11.38991881545564
