locality,year,restaurant_count
Aadorf,2025,12
Aadorf,2024,12
Aadorf,2023,13
Aadorf,2022,14
Aadorf,2021,14
Aadorf,2020,14
Aadorf,2019,15
Aadorf,2018,16
Aadorf,2017,16
Aadorf,2016,8
Aadorf,2015,7
Aadorf,2014,6
Aarau,2025,56
Aarau,2024,57
Aarau,2023,54
Aarau,2022,55
Aarau,2021,55
Aarau,2020,51
Aarau,2019,51
Aarau,2018,50
Aarau,2017,49
Aarau,2016,43
Aarau,2015,38
Aarau,2014,40
Aarberg,2025,12
Aarberg,2024,13
Aarberg,2023,12
Aarberg,2022,12
Aarberg,2021,12
Aarberg,2020,12
Aarberg,2019,14
Aarberg,2018,13
Aarberg,2017,12
Aarberg,2016,12
Aarberg,2015,13
Aarberg,2014,7
Aarburg,2025,12
Aarburg,2024,8
Aarburg,2023,9
Aarburg,2022,9
Aarburg,2021,9
Aarburg,2020,7
Aarburg,2019,7
Aarburg,2018,3
Aarburg,2017,3
Aarburg,2016,3
Aarwangen,2025,2
Aarwangen,2024,1
Aarwangen,2023,1
Aarwangen,2022,1
Aarwangen,2021,1
Aarwangen,2020,1
Acquarossa,2025,5
Acquarossa,2024,5
Acquarossa,2023,5
Acquarossa,2022,5
Acquarossa,2021,5
Acquarossa,2020,5
Acquarossa,2019,5
Acquarossa,2018,5
Acquarossa,2017,5
Acquarossa,2016,2
Acquarossa,2015,3
Acquarossa,2014,2
Adelboden,2025,27
Adelboden,2024,23
Adelboden,2023,23
Adelboden,2022,23
Adelboden,2021,22
Adelboden,2020,22
Adelboden,2019,19
Adelboden,2018,16
Adelboden,2017,15
Adelboden,2016,13
Adelboden,2015,13
Adelboden,2014,10
Adligenswil,2025,5
Adligenswil,2024,5
Adligenswil,2023,5
Adligenswil,2022,5
Adligenswil,2021,4
Adligenswil,2020,4
Adligenswil,2019,4
Adligenswil,2018,4
Adliswil,2025,14
Adliswil,2024,13
Adliswil,2023,11
Adliswil,2022,12
Adliswil,2021,11
Adliswil,2020,12
Adliswil,2019,12
Adliswil,2018,11
Adliswil,2017,11
Adliswil,2016,15
Adliswil,2015,15
Adliswil,2014,15
Aedermannsdorf,2025,4
Aedermannsdorf,2024,4
Aedermannsdorf,2023,3
Aedermannsdorf,2022,3
Aedermannsdorf,2021,3
Aedermannsdorf,2020,3
Aedermannsdorf,2019,3
Aegerten,2025,3
Aegerten,2024,3
Aegerten,2023,3
Aegerten,2022,3
Aegerten,2021,3
Aegerten,2020,3
Aegerten,2019,3
Aegerten,2018,3
Aegerten,2017,3
Aegerten,2016,3
Aegerten,2015,3
Aegerten,2014,3
Aesch (BL),2025,5
Aesch (BL),2024,5
Aesch (BL),2023,5
Aesch (BL),2022,5
Aesch (BL),2021,1
Aesch (BL),2020,1
Aesch (BL),2019,1
Aesch (BL),2018,1
Aesch (BL),2017,1
Aesch (BL),2016,1
Aesch (BL),2015,1
Aesch (LU),2025,2
Aesch (LU),2024,2
Aesch (LU),2023,2
Aesch (LU),2022,1
Aesch (LU),2021,1
Aesch (LU),2020,1
Aesch (LU),2019,1
Aesch (LU),2018,1
Aesch (LU),2017,1
Aesch (LU),2016,1
Aesch (LU),2015,1
Aeschi (SO),2025,2
Aeschi (SO),2024,2
Aeschi (SO),2023,2
Aeschi (SO),2022,2
Aeschi (SO),2021,2
Aeschi (SO),2020,2
Aeschi (SO),2019,2
Aeschi (SO),2018,2
Aeschi (SO),2017,2
Aeschi (SO),2016,2
Aeschi (SO),2015,2
Aeschi (SO),2014,2
Aeschi bei Spiez,2025,7
Aeschi bei Spiez,2024,8
Aeschi bei Spiez,2023,7
Aeschi bei Spiez,2022,8
Aeschi bei Spiez,2021,8
Aeschi bei Spiez,2020,8
Aeschi bei Spiez,2019,8
Aeschi bei Spiez,2018,8
Aeschi bei Spiez,2017,8
Aeschi bei Spiez,2016,7
Aeschi bei Spiez,2015,6
Aeschi bei Spiez,2014,6
Aeugst am Albis,2025,2
Aeugst am Albis,2024,2
Aeugst am Albis,2023,2
Aeugst am Albis,2022,2
Aeugst am Albis,2021,2
Aeugst am Albis,2020,2
Aeugst am Albis,2019,2
Affeltrangen,2025,1
Affeltrangen,2024,1
Affeltrangen,2023,1
Affeltrangen,2022,1
Affeltrangen,2021,1
Affeltrangen,2020,1
Affoltern am Albis,2025,15
Affoltern am Albis,2024,15
Affoltern am Albis,2023,14
Affoltern am Albis,2022,14
Affoltern am Albis,2021,14
Affoltern am Albis,2020,12
Affoltern am Albis,2019,11
Affoltern am Albis,2018,10
Affoltern am Albis,2017,10
Affoltern am Albis,2016,9
Affoltern am Albis,2015,8
Affoltern am Albis,2014,8
Affoltern im Emmental,2025,2
Affoltern im Emmental,2024,2
Affoltern im Emmental,2023,2
Affoltern im Emmental,2022,2
Affoltern im Emmental,2021,2
Affoltern im Emmental,2020,3
Affoltern im Emmental,2019,3
Affoltern im Emmental,2018,2
Affoltern im Emmental,2017,1
Affoltern im Emmental,2016,1
Affoltern im Emmental,2015,1
Agarn,2025,2
Agarn,2024,2
Agarn,2023,2
Agarn,2022,2
Agarn,2021,2
Agarn,2020,2
Agarn,2019,2
Agarn,2018,2
Agarn,2017,2
Agarn,2016,2
Agarn,2015,2
Agarn,2014,1
Agiez,2025,1
Agiez,2024,1
Agiez,2023,1
Agiez,2022,1
Agiez,2021,1
Agiez,2020,1
Agiez,2019,1
Agno,2025,5
Agno,2024,4
Agno,2023,4
Agno,2022,4
Agno,2021,3
Agno,2020,3
Agno,2019,3
Agno,2018,3
Agno,2017,2
Agno,2016,2
Agno,2015,2
Agno,2014,2
Aigle,2025,22
Aigle,2024,20
Aigle,2023,20
Aigle,2022,18
Aigle,2021,16
Aigle,2020,16
Aigle,2019,16
Aigle,2018,14
Aigle,2017,13
Aigle,2016,12
Aigle,2015,11
Aigle,2014,11
Aire-la-Ville,2025,1
Aire-la-Ville,2024,1
Airolo,2025,12
Airolo,2024,13
Airolo,2023,12
Airolo,2022,13
Airolo,2021,14
Airolo,2020,14
Airolo,2019,14
Airolo,2018,13
Airolo,2017,13
Airolo,2016,15
Airolo,2015,7
Airolo,2014,6
Alberswil,2025,2
Alberswil,2024,2
Alberswil,2023,3
Alberswil,2022,2
Alberswil,2021,2
Alberswil,2020,2
Alberswil,2019,2
Alberswil,2018,2
Alberswil,2017,2
Alberswil,2016,2
Alberswil,2015,2
Alberswil,2014,1
Albinen,2025,4
Albinen,2024,4
Albinen,2023,4
Albinen,2022,3
Albinen,2021,3
Albinen,2020,3
Albinen,2019,4
Albinen,2018,4
Albinen,2017,4
Albinen,2016,2
Albinen,2015,2
Albinen,2014,2
Albula/Alvra,2025,6
Albula/Alvra,2024,6
Albula/Alvra,2023,6
Albula/Alvra,2022,6
Albula/Alvra,2021,6
Albula/Alvra,2020,6
Albula/Alvra,2019,6
Albula/Alvra,2018,6
Albula/Alvra,2017,5
Albula/Alvra,2016,5
Albula/Alvra,2015,5
Albula/Alvra,2014,6
Allaman,2025,1
Allaman,2024,1
Allaman,2023,1
Allaman,2022,1
Allaman,2021,1
Allaman,2020,1
Allaman,2019,1
Allaman,2018,1
Allaman,2017,1
Allaman,2016,1
Allaman,2015,1
Allaman,2014,1
Allmendingen,2025,1
Allmendingen,2024,1
Allmendingen,2023,1
Allmendingen,2022,1
Allmendingen,2021,1
Allmendingen,2020,1
Allmendingen,2019,1
Allmendingen,2018,1
Allmendingen,2017,1
Allschwil,2025,14
Allschwil,2024,14
Allschwil,2023,14
Allschwil,2022,14
Allschwil,2021,13
Allschwil,2020,13
Allschwil,2019,12
Allschwil,2018,12
Allschwil,2017,12
Allschwil,2016,12
Allschwil,2015,9
Allschwil,2014,8
Alpnach,2025,8
Alpnach,2024,8
Alpnach,2023,8
Alpnach,2022,5
Alpnach,2021,4
Alpnach,2020,4
Alpnach,2019,3
Alpnach,2018,3
Alpnach,2017,2
Alpnach,2016,2
Alpnach,2015,1
Alpnach,2014,1
Alpthal,2025,7
Alpthal,2024,7
Alpthal,2023,7
Alpthal,2022,6
Alpthal,2021,6
Alpthal,2020,6
Alpthal,2019,6
Alpthal,2018,5
Alpthal,2017,5
Alpthal,2016,5
Alpthal,2015,5
Alpthal,2014,5
Altbüron,2025,1
Altbüron,2024,1
Altbüron,2023,1
Altbüron,2016,1
Altbüron,2015,1
Altbüron,2014,1
Altdorf (UR),2025,23
Altdorf (UR),2024,22
Altdorf (UR),2023,23
Altdorf (UR),2022,12
Altdorf (UR),2021,10
Altdorf (UR),2020,11
Altdorf (UR),2019,7
Altdorf (UR),2018,7
Altdorf (UR),2017,5
Altdorf (UR),2016,4
Altdorf (UR),2015,3
Altdorf (UR),2014,4
Altendorf,2025,11
Altendorf,2024,11
Altendorf,2023,11
Altendorf,2022,11
Altendorf,2021,10
Altendorf,2020,10
Altendorf,2019,10
Altendorf,2018,10
Altendorf,2017,11
Altendorf,2016,11
Altendorf,2015,11
Altendorf,2014,11
Altishofen,2025,2
Altishofen,2024,2
Altishofen,2023,2
Altishofen,2022,1
Altishofen,2021,1
Altishofen,2020,1
Altishofen,2019,1
Altishofen,2018,1
Altishofen,2017,1
Altishofen,2016,1
Altishofen,2015,1
Altishofen,2014,1
Altnau,2025,2
Altnau,2024,2
Altnau,2023,2
Altnau,2022,2
Altnau,2021,2
Altnau,2020,2
Altnau,2019,2
Altnau,2018,2
Altnau,2017,2
Altnau,2016,2
Altnau,2015,1
Altnau,2014,1
Alto Malcantone,2025,3
Alto Malcantone,2024,3
Alto Malcantone,2023,2
Alto Malcantone,2022,3
Alto Malcantone,2021,3
Alto Malcantone,2020,3
Alto Malcantone,2019,3
Alto Malcantone,2018,3
Alto Malcantone,2017,3
Alto Malcantone,2016,2
Alto Malcantone,2015,2
Alto Malcantone,2014,2
Altstätten,2025,22
Altstätten,2024,16
Altstätten,2023,16
Altstätten,2022,16
Altstätten,2021,15
Altstätten,2020,14
Altstätten,2019,12
Altstätten,2018,12
Altstätten,2017,10
Altstätten,2016,10
Altstätten,2015,5
Altstätten,2014,6
Amden,2025,4
Amden,2024,6
Amden,2023,7
Amden,2022,7
Amden,2021,7
Amden,2020,7
Amden,2019,9
Amden,2018,9
Amden,2017,9
Amden,2016,9
Amden,2015,7
Amden,2014,6
Amlikon-Bissegg,2025,6
Amlikon-Bissegg,2024,6
Amlikon-Bissegg,2023,6
Amlikon-Bissegg,2022,6
Amlikon-Bissegg,2021,6
Amlikon-Bissegg,2020,6
Amlikon-Bissegg,2019,6
Amlikon-Bissegg,2018,6
Amlikon-Bissegg,2017,6
Amlikon-Bissegg,2016,6
Amlikon-Bissegg,2015,6
Amlikon-Bissegg,2014,2
Ammerswil,2020,1
Ammerswil,2019,1
Ammerswil,2018,1
Ammerswil,2017,1
Ammerswil,2016,1
Ammerswil,2015,1
Ammerswil,2014,1
Amriswil,2025,20
Amriswil,2024,20
Amriswil,2023,20
Amriswil,2022,18
Amriswil,2021,15
Amriswil,2020,15
Amriswil,2019,13
Amriswil,2018,12
Amriswil,2017,11
Amriswil,2016,2
Amriswil,2015,1
Amriswil,2014,1
Amsoldingen,2021,1
Amsoldingen,2020,1
Amsoldingen,2019,1
Amsoldingen,2018,1
Amsoldingen,2017,1
Amsoldingen,2016,1
Amsoldingen,2015,1
Amsoldingen,2014,1
Andeer,2025,2
Andeer,2024,2
Andeer,2023,2
Andeer,2022,2
Andeer,2021,2
