locality,trend_score
Montet (Glâne),0.12936804591640294
L'Abergement,0.1208030256636958
Chapelle (Glâne),0.11221117085665602
Treytorrens (Payerne),0.10208640251616583
Bioley-Magnoux,0.10174174753195708
Eschert,0.09958608338167513
Arnex-sur-Nyon,0.09525207931734517
Aranno,0.0839064290926761
Lovatens,0.0813094075605492
Niederried bei Interlaken,0.08062076609490532
Pleigne,0.07938232476795903
Botterens,0.07828586485550156
Orzens,0.07791721452271991
Kleinbösingen,0.07791590953402398
Pomy,0.07740619099230495
Känerkinden,0.0761987207264746
Trey,0.07535146183174957
Oberhallau,0.07496477697491084
Valeyres-sous-Ursins,0.07422856199393359
Rossenges,0.07363360577078763
Cama,0.07333038557641985
Rennaz,0.07264872184437207
Bedigliora,0.07041001544683839
Crésuz,0.06918807398773213
Ependes (VD),0.06898723200887155
Seewis im Prättigau,0.0686799923609408
Walliswil bei Niederbipp,0.0682088893449632
Campo (Vallemaggia),0.06815145694404069
Courchapoix,0.06788666083169326
Champagne,0.06762972361921618
Fontaines-sur-Grandson,0.06699370581114698
Herbetswil,0.06517353255991495
Mathod,0.06396422037474647
Bretonnières,0.0638281878204387
Prévondavaux,0.06370862623171758
Mont-la-Ville,0.06306581494270734
Inden,0.06293144694201974
Furna,0.062433384119567566
Soral,0.061255370884114445
Fisibach,0.06107857082293227
Belmont-sur-Yverdon,0.06048998557549244
Missy,0.06037059083651797
Mauborget,0.05948705449751721
Vallon,0.059194406985589344
Romainmôtier-Envy,0.056873828696536205
Tecknau,0.05679509754455057
Chessel,0.05672580708406199
Rümlingen,0.05667403535745164
Dompierre (VD),0.056601194143313674
Echichens,0.056386942249245356
Rumisberg,0.056211789911425496
Bettens,0.05587717398296686
Flerden,0.05528602487605106
Guttet-Feschel,0.054856561454446624
Zullwil,0.05435111926917422
Randa,0.054211978609647916
Niedermuhlern,0.05419553351130445
Wintersingen,0.05367498006922023
Bonfol,0.05355386951684752
Vugelles-La Mothe,0.053526462966167934
Corcelles-près-Concise,0.05346675262007116
Aesch (ZH),0.05345329629422685
Cuarnens,0.05325172484575269
Burg im Leimental,0.05302988848861132
Henniez,0.05283540198047388
Châtillon (FR),0.05276052815069414
Trient,0.05241211568103774
Senarclens,0.05239816905093709
Hüttlingen,0.05229342572335871
Rossemaison,0.05198560652412046
Bitsch,0.05183608816970671
Schlatt (ZH),0.051362808962092645
Cademario,0.051296159429097564
Villorsonnens,0.05098738627797939
Fétigny,0.050746310535409456
Vuarrens,0.05037132439689524
Semsales,0.049373319793414264
Rivaz,0.04933704632700773
Les Ponts-de-Martel,0.04906415938671221
Lüterswil-Gächliwil,0.04874510719763074
Chigny,0.048706039963355416
Rances,0.048543157168489545
Montilliez,0.04851781120080519
Chavannes-le-Chêne,0.048200584343193166
Epsach,0.04785392060428771
Misery-Courtion,0.047293438840647024
Grandcour,0.047112599946633804
Bretigny-sur-Morrens,0.04704738788876942
Sembrancher,0.04694306346289163
Büetigen,0.04681656627158054
Fläsch,0.04635106947614993
Ellikon an der Thur,0.04625666191111725
Altikon,0.04619114568473194
Eggerberg,0.04616825444062177
Grellingen,0.04613341713531745
Hohentannen,0.046104028976194464
Därligen,0.045511181901936315
Wisen (SO),0.04522241300949268
Vulliens,0.045078787841160935
Zuzwil (BE),0.04461705339776774
Oeschenbach,0.04451936139718029
Torny,0.04447422837107488
Châtillon (JU),0.04436253754438832
La Brillaz,0.044310930178967825
Mollens (VD),0.044270195837391495
Corgémont,0.04413026897256638
Rüdlingen,0.04412289337286185
Heiligenschwendi,0.04411724377978432
Gerzensee,0.04408921256581266
Hermenches,0.044032867550030594
Cerentino,0.04401511176970862
Arnex-sur-Orbe,0.04363826988688371
Bözberg,0.043547288810500136
Egolzwil,0.043533061299493185
Mont-Noble,0.043361021412630506
Bärschwil,0.04299607679249302
Essertines-sur-Rolle,0.042967818229992745
Kirchleerau,0.04294780181178838
Kaufdorf,0.04292429628480393
Horriwil,0.04289648306242832
Curio,0.04276850417197074
Corcelles-près-Payerne,0.04274996561563923
Berolle,0.04269919886766369
Cartigny,0.042452088732293544
Saint-Brais,0.04232935769612235
Cottens (FR),0.042317575461274376
Bettenhausen,0.04219704839636019
Duillier,0.04219324188065684
Stocken-Höfen,0.04191229565581221
Knutwil,0.041810382063409667
Lampenberg,0.041779785597576745
Dorénaz,0.04175165182793995
Les Planchettes,0.04158284039209697
Cressier (NE),0.04151578076516521
Cheyres-Châbles,0.04130377909423597
Walperswil,0.04115059201099226
Termen,0.04114706420574208
Donneloye,0.041124209784707766
Fiez,0.04108867366031
Titterten,0.04108612046925644
Conters im Prättigau,0.041061424199601695
Courtételle,0.040807921520283216
Collonges,0.04070269192954825
Pont-en-Ogoz,0.04066874789516641
Saint-Gingolph,0.040666891082852215
Anières,0.04060975727693227
Erlinsbach (AG),0.04036637511766882
Poliez-Pittet,0.040262662051799715
Buchillon,0.040160456954843736
Enges,0.040149635516339925
Recherswil,0.04010855929920357
Bedano,0.03995221800486303
Hauenstein-Ifenthal,0.039770704936920614
Burtigny,0.03970034340329451
Salvan,0.03948804572771908
Penthaz,0.03944189752219765
Trin,0.039347541080836074
Fideris,0.03924880813519981
Les Montets,0.03914121781459496
Tschappina,0.038948805025536916
Baulmes,0.03893274488036921
Bursins,0.038904115491595746
Herbligen,0.03879141842174281
Ferrera,0.03870683974346302
Châtonnaye,0.038694008896402794
Troinex,0.038676901859338156
Bellwald,0.038561948814988395
Fieschertal,0.03855080696520442
Grangettes,0.038444271076161836
Alle,0.03819027697867857
Vétroz,0.038154916644010405
Choulex,0.0379728181959408
Lindau,0.037911689492020444
Staufen,0.037909280874354565
Assens,0.037791274286348056
Hauteville,0.03777133774026319
Mézières (FR),0.037765618546040595
Grandevent,0.03749001903095896
Eriz,0.03745801118955654
Val-d'Illiez,0.037269246400572775
Arbaz,0.03715836393973649
Baltschieder,0.03711751976922665
Emmetten,0.03705983032869269
Massonnens,0.037027165281475656
Bodio,0.036917621680522886
Merzligen,0.0369103903856128
Uezwil,0.0367798546758271
Boppelsen,0.03676180438593982
L'Abbaye,0.036689380496921456
La Praz,0.03643281620205964
Islisberg,0.036380427366006975
Fischbach,0.03628666259567795
Cuarny,0.036282811280819845
Valsot,0.03626070010832662
Gsteigwiler,0.03619691323653367
Puplinge,0.03597574403876121
Grossdietwil,0.035936941031040816
Gilly,0.035931770059048344
Bavois,0.03590139643907068
Les Bois,0.03590111761777834
Grens,0.03587947277429627
Vorderthal,0.03584664932788979
Ulmiz,0.03579230940560449
Bühler,0.035748674153160874
Siblingen,0.0357204233001747
Chevilly,0.035709275104588316
Gündlischwand,0.03558904484166274
Biezwil,0.03555709314377184
Courchavon,0.03542079087073605
Roggenburg,0.03531504449076927
Sullens,0.03513350898204463
Jenaz,0.03510385449885849
Treiten,0.035067198653756036
Chénens,0.035059797501326845
Altnau,0.03504715691421474
Fahrni,0.03500479777145697
Schöfflisdorf,0.03498430267020625
Besenbüren,0.03498203079313501
Oltingen,0.034917739333501924
Günsberg,0.03485920202251384
Billens-Hennens,0.034807497867316795
Jongny,0.034793021271160206
Itingen,0.0347582900301435
Udligenswil,0.03461260233392227
Ried bei Kerzers,0.03449526091011398
Brusino Arsizio,0.03442890549098781
Salmsach,0.03437112751283743
Lalden,0.03434240654974044
Lufingen,0.03432686034481246
La Sonnaz,0.03420546130375445
Sévaz,0.03418154310531516
Bettingen,0.034177901964947355
Grolley,0.03409068238142923
Bünzen,0.0340581528461939
Valbroye,0.034049255725815825
Longirod,0.03404442326832869
Kappel am Albis,0.034042292532510406
Champvent,0.03402450649337454
Granges (Veveyse),0.03402180974175347
Brünisried,0.033956088454025195
Seelisberg,0.03385177428519904
Gingins,0.03368611976514165
Collombey-Muraz,0.03360848178712506
Ecublens (FR),0.0335737661811617
Schafisheim,0.03354390611221791
Thalheim an der Thur,0.03350550218995417
Cornol,0.03350219610385616
Courgevaux,0.03346144815377969
Gondiswil,0.03345778532932003
Bottighofen,0.03345617557686326
Lancy,0.033451759531093625
Hermance,0.033440787985149885
Siviriez,0.03328433161339529
Winznau,0.033270019470235515
Kesswil,0.03316995465017831
Haute-Sorne,0.03301004728070727
Gollion,0.03294678199372839
Chamoson,0.03290250117555865
Feldbrunnen-St. Niklaus,0.03287143864420713
Yens,0.032864178188838855
St. Ursen,0.03283422567178918
Corcelles-le-Jorat,0.03278784855881425
Holderbank (AG),0.03274294686582046
Lajoux (JU),0.03272546575061755
Oberbuchsiten,0.03263549637893129
Trun,0.03261882015771948
Meierskappel,0.03258973417406603
Aegerten,0.03251126752252309
Oulens-sous-Echallens,0.032404653551815
Lussy-sur-Morges,0.032384358464719584
Chavannes-près-Renens,0.0323382317998714
Jonen,0.0323251602374881
Corminboeuf,0.03229005779318841
Ferden,0.032267630260797035
Boussens,0.032216634937611996
Massongex,0.03217582776042982
Vandoeuvres,0.03211969443015787
Mauensee,0.03207786564799406
Bourg-Saint-Pierre,0.03205735628629966
Saas-Balen,0.03200468908131797
Personico,0.031998091782639945
Lostallo,0.0319707006849291
Cossonay,0.03194070798660777
Sorvilier,0.03192912192336772
Leuzigen,0.031913725653037836
Rhäzüns,0.03190244203387904
Stettfurt,0.03172675549507028
Savièse,0.03172053163679095
Roches (BE),0.03171660247986406
Paudex,0.03169152209410672
Develier,0.03161522867889866
Saint-Oyens,0.03156865949794195
Vendlincourt,0.03143853194039483
Prez,0.03142239493410197
Aedermannsdorf,0.031390271291380695
Alchenstorf,0.03136653228719163
