locality,trend_score
Montet (Glâne),9.533862103647
L'Abergement,9.337933862103647
Chapelle (Glâne),8.673793444261065
Treytorrens (Payerne),7.891160587069052
Bioley-Magnoux,7.864519156276201
Eschert,7.69788881607033
Arnex-sur-Nyon,7.362875325402734
Aranno,6.485869713676905
Lovatens,6.285122959427786
Niederried bei Interlaken,6.23189177233164
Pleigne,6.1361616932248895
Botterens,6.051406612888742
Orzens,6.022910369464007
Kleinbösingen,6.022809495350407
Pomy,5.983408842885704
Känerkinden,5.890072790904942
Trey,5.8245806603928525
Oberhallau,5.79469036916216
Valeyres-sous-Ursins,5.737781804472775
Rossenges,5.691792378032001
Cama,5.6683538084671685
Rennaz,5.615661992090172
Bedigliora,5.442612582425257
Crésuz,5.3481579239776975
Ependes (VD),5.332633071805904
Seewis im Prättigau,5.308883803139573
Walliswil bei Niederbipp,5.272468086055772
Campo (Vallemaggia),5.268028628033832
Courchapoix,5.247560195472171
Champagne,5.2276992467613015
Fontaines-sur-Grandson,5.1785358074000705
Herbetswil,5.037838524826274
Mathod,4.9443600946156225
Bretonnières,4.933844935841746
Prévondavaux,4.924602963616358
Mont-la-Ville,4.8749143960526515
Inden,4.86452790534424
Furna,4.8260282264688215
Soral,4.734969168792838
Fisibach,4.721302728990814
Belmont-sur-Yverdon,4.675805771587582
Missy,4.666576696654221
Mauborget,4.598280361748486
Vallon,4.575659048281557
Romainmôtier-Envy,4.3962810362991664
Tecknau,4.390195209507242
Chessel,4.3848391372254225
Rümlingen,4.380837242766589
Dompierre (VD),4.375206701343317
Echichens,4.35864527826928
Rumisberg,4.345106205573301
Bettens,4.319240782153763
Flerden,4.273545641384782
Guttet-Feschel,4.240348616681949
Zullwil,4.201278521613881
Randa,4.1905231099091855
Niedermuhlern,4.189251922868598
Wintersingen,4.1490137451643
Bonfol,4.139652039844042
Vugelles-La Mothe,4.137533545243195
Corcelles-près-Concise,4.132918004699637
Aesch (ZH),4.13187784630898
Cuarnens,4.116296606981575
Burg im Leimental,4.099148913703079
Henniez,4.084115332051612
Châtillon (FR),4.078327671795223
Trient,4.051395791732541
Senarclens,4.050317733391171
Hüttlingen,4.042221195576417
Rossemaison,4.018427128265761
Bitsch,4.006869532774961
Schlatt (ZH),3.9702855986000616
Cademario,3.9651336669524144
Villorsonnens,3.9412658602671584
Fétigny,3.922630984795229
Vuarrens,3.893644990931141
Semsales,3.816500391860215
Rivaz,3.813696494951241
Les Ponts-de-Martel,3.792602650767196
Lüterswil-Gächliwil,3.7679402863617173
Chigny,3.7649204344347167
Rances,3.752329783187564
Montilliez,3.750370569263844
Chavannes-le-Chêne,3.7258493008652316
Epsach,3.6990525956626645
Misery-Courtion,3.655728004982607
