name,score,version
Geneve,340120.4819277109,2
Lugano,251204.81927710844,2
Lausanne,189277.10843373492,2
Renens,101686.74698795182,2
Chene-Bourg,94999.99999999999,2
Fribourg,87903.61445783133,2
Morges,83614.4578313253,2
Visp,83614.4578313253,2
Aigle,73373.4939759036,2
Locarno,68313.25301204818,2
Chiasso,61445.783132530116,2
Neuchatel,59277.10843373495,2
Lenzburg,57951.80722891568,2
Romont,51566.26506024097,2
Bellinzona,50963.855421686756,2
Rapperswil,46746.98795180723,2
Nyon,45180.72289156627,2
Tasch,43626.50602409638,2
Zermatt,42289.156626506025,2
Schaffhausen,41734.9397590361,2
Martigny,41566.26506024097,2
Yverdon-les-Bains,38072.28915662652,2
Landquart,36246.98795180722,2
Sion,34216.867469879515,2
Interlaken,33915.6626506024,2
Altdorf,33253.01204819278,2
Montreux,32409.638554216865,2
Kriens,31445.78313253012,2
Olten,30638.554216867367,2
La Chaux-de-Fonds,30000.000000000007,2
Allaman,30000.000000000007,2
Bussigny,28192.771084337353,2
Villeneuve,27349.397590361445,2
Murten,26867.469879518074,2
Payerne,26626.50602409639,2
Versoix,26265.060240963856,2
Mendrisio,25259.0361445783,2
Schlieren,24096.385542168675,2
Coppet,23132.530120481922,2
Gland,22771.084337349403,2
Sierre,22650.60240963856,2
Romanshorn,21566.265060240967,2
Weinfelden,20361.44578313253,2
Uster,20240.963855421687,2
Kilchberg,20000.0,2
Delemont,19638.55421686747,2
Bulach,19277.10843373494,2
Sursee,19156.626506024095,2
Stans,18313.253012048193,2
Chur,18099.39759036143,2
Horw,17469.87951807229,2
Cadenazzo,16506.024096385547,2
Altstatten,16506.02409638554,2
Dietikon,16024.096385542165,2
Zofingen,15903.614457831318,2
Biasca,15662.650602409642,2
Puidoux,14999.999999999995,2
Givisiez,14499.999999999995,2
Pully,14457.831325301206,2
Dudingen,14457.831325301206,2
Spiez,14337.349397590364,2
Rolle,14216.867469879517,2
Samedan,14096.385542168677,2
Ruti,13692.771084337366,2
Bex,13493.975903614459,2
Brugg,12981.927710843356,2
Sargans,12771.084337349397,2
Wadenswil,12530.120481927708,2
Goschenen,12409.638554216868,2
Winterthur,11834.767641996668,2
Ebikon,11686.746987951807,2
Muttenz,11686.746987951807,2
Einsiedeln,11445.78313253012,2
Saxon,11385.5421686747,2
Uzwil,11204.819277108432,2
Koblenz,11108.433734939757,2
Porrentruy,11084.33734939759,2
Aesch,10963.855421686749,2
Lutry,10843.373493975903,2
Schonenwerd,10843.373493975903,2
Ins,10722.89156626506,2
Monthey,10722.89156626506,2
La Tour-de-Peilz,10361.445783132529,2
Mellingen,10361.445783132529,2
Herisau,10361.445783132529,2
Meyrin,10204.819277108432,2
Wald,9939.75903614458,2
Kussnacht,9879.518072289155,2
Riddes,9795.180722891566,2
Pfaffikon,9638.554216867476,2
Rumlang,9638.554216867471,2
Glarus,9638.554216867471,2
Rorschach,9618.473895582329,2
Oberglatt,8674.698795180722,2
Leuk,8554.216867469879,2
Othmarsingen,8554.216867469877,2
Satigny,8433.734939759035,2
Brienz,8397.59036144578,2
Wohlen,8313.253012048193,2
Courtetelle,8168.674698795179,2
Walenstadt,8072.289156626506,2
Giswil,8024.096385542169,2
Sarnen,7813.253012048191,2
Andelfingen,7590.361445783133,2
Le Locle,7590.361445783133,2
Pontresina,7469.879518072291,2
Affoltern am Albis,7469.879518072288,2
Baden,7469.879518072288,2
Melide,7409.638554216869,2
Etoy,7349.3975903614455,2
Hergiswil,7301.204819277109,2
